Title,Status,Assignee,Labels
Поміняти фавікон та назву застосунку,To Do,,Frontend
Підключити шрифти до проєкту,To Do,,Frontend
Створити глобальні CSS змінні,To Do,,Frontend
Налаштувати маршрутизацію по приватним та публічним роутам,To Do,,Frontend
Розмітка сторінки логіну/реєстрації,To Do,,Frontend
Валідація даних у формах логіну/реєстрації (Formik + Yup),To Do,,Frontend
Функціонал логінізації/реєстрації (запит на бек, запис у state),To Do,,Frontend
Обробка помилок логіну/реєстрації,To Do,,Frontend
Функціонал отримання інформації про поточного користувача,To Do,,Frontend
Функціонал виходу з профілю,To Do,,Frontend
